state,avg_2019,avg_2018,prcnt_change,month_rate,code
Connecticut,"22.17","21.31",4.00%,"199.51",CT
Maine,"16.77","16.36",2.50%,"150.93",ME
Massachusetts,"21.99","21.57",1.90%,"197.9",MA
New Hampshire,"20.17","19.69",2.40%,"181.5",NH
Rhode Island,"21.86","20.52",6.50%,"196.7",RI
Vermont,"17.58","18.03",-2.50%,"158.22",VT
New Jersey,"15.93","15.46",3.10%,"143.4",NJ
New York,"17.97","18.59",-3.30%,"161.69",NY
Pennsylvania,"13.83","14.01",-1.30%,"124.47",PA
Illinois,"12.99","12.72",2.10%,"116.91",IL
Indiana,"12.41","12.17",1.90%,"111.65",IN
Michigan,"15.82","15.55",1.80%,"142.41",MI
Ohio,"12.24","12.48",-2.00%,"110.12",OH
Wisconsin,"14.72","14.36",2.50%,"132.5",WI
Iowa,"13.12","12.68",3.50%,"118.08",IA
Kansas,"12.77","13.29",-4.00%,"114.92",KS
Minnesota,"13.38","13.37",0.10%,"120.39",MN
Missouri,"10.92","11.29",-3.30%,"98.26",MO
Nebraska,"11.06","10.92",1.30%,"99.52",NE
North Dakota,"10.86","10.68",1.70%,"97.72",ND
South Dakota,"11.78","11.76",0.20%,"106.06",SD
Delaware,"12.83","12.73",0.80%,"115.49",DE
Florida,"11.96","11.6",3.10%,"107.65",FL
Georgia,"11.54","11.54",0.00%,"103.86",GA
Maryland,"13.23","13.37",-1.00%,"119.07",MD
North Carolina,"11.65","11.31",3.00%,"104.87",NC
South Carolina,"12.71","12.55",1.30%,"114.37",SC
Virginia,"12.09","11.88",1.70%,"108.77",VA
West Virginia,"11.37","11.38",-0.10%,"102.33",WV
Alabama,"12.75","12.33",3.40%,"114.77",AL
Kentucky,"10.7","10.56",1.30%,"96.33",KY
Mississippi,"11.38","11.32",0.50%,"102.45",MS
Tennessee,"10.82","10.73",0.80%,"97.37",TN
Arkansas,"9.86","9.87",-0.20%,"88.72",AR
Louisiana,"9.55","9.46",1.00%,"85.98",LA
Oklahoma,"10.23","10.42",-1.80%,"92.06",OK
Texas,"11.85","11.37",4.30%,"106.68",TX
Arizona,"12.6","12.79",-1.50%,"113.36",AZ
Colorado,"12.27","12.13",1.20%,"110.43",CO
Idaho,"9.95","10.24",-2.90%,"89.55",ID
Montana,"11.49","11.2",2.60%,"103.42",MT
Nevada,"12.11","12.02",0.70%,"108.98",NV
New Mexico,"12.65","12.72",-0.60%,"113.83",NM
Utah,"10.53","10.5",0.30%,"94.77",UT
Wyoming,"11.37","11.48",-0.90%,"102.32",WY
California,"19.17","18.69",2.60%,"172.55",CA
Oregon,"11.04","11",0.40%,"99.35",OR
Washington,"9.68","9.72",-0.40%,"87.1",WA
Alaska,"23","22.09",4.10%,"207",AK
Hawaii,"32.32","32.28",0.10%,"290.86",HI
